number of cluster: 333
98 : size: 4 :{YDR092W,YCR066W,YHR137W,YLR032W}
99 : size: 4 :{YKL129C,YMR109W,YLR337C,YIL156W}
100 : size: 4 :{YPL074W,YGR086C,YDR490C,YPL004C}
101 : size: 4 :{YDL185W,YOR317W,YAR019C,YGR092W}
102 : size: 4 :{YLR103C,YBR202W,YEL032W,YIL150C}
103 : size: 4 :{YJR033C,YBR127C,YDR202C,YOR332W}
104 : size: 4 :{YGR179C,YPL018W,YGR140W,YDR318W}
105 : size: 4 :{YGR261C,YPL195W,YBR288C,YJL024C}
106 : size: 4 :{YBL078C,YHR171W,YBR217W,YNR007C}
107 : size: 4 :{YLR310C,YNL098C,YOR101W,YJL005W}
108 : size: 4 :{YAL056W,YOR371C,YGL121C,YER020W}
109 : size: 4 :{YPR054W,YBL045C,YBR018C,YPR191W}
110 : size: 4 :{YNL016W,YPL178W,YML117W,YDR432W}
111 : size: 4 :{YPL085W,YHR098C,YNL049C,YPR181C}
112 : size: 4 :{YPL201C,YER171W,YIL053W,YER062C}
113 : size: 4 :{YBR143C,YGR072W,YDR172W,YMR080C}
114 : size: 4 :{YKL214C,YDR381W,YPL169C,YHR015W}
115 : size: 4 :{YDR460W,YGL134W,YPR025C,YDL108W}
116 : size: 4 :{YFR015C,YLR258W,YIL045W,YJL137C}
117 : size: 4 :{YMR261C,YBR126C,YDR074W,YML100W}
118 : size: 3 :{YKR034W,YNL021W,YJL110C}
119 : size: 3 :{YDR488C,YHR129C,YPL174C}
120 : size: 3 :{YNL189W,YGL221C,YGR024C}
121 : size: 3 :{YPL066W,YLR425W,YBR011C}
122 : size: 3 :{YBR125C,YER089C,YDR071C}
123 : size: 3 :{YLR359W,YBR286W,YGL100W}
124 : size: 3 :{YIL105C,YNL307C,YAL038W}
125 : size: 3 :{YNL103W,YPL038W,YDR253C}
126 : size: 3 :{YNL207W,YDL060W,YOR056C}
127 : size: 3 :{YMR168C,YJR060W,YMR094W}
128 : size: 3 :{YGL158W,YLR113W,YER075C}
129 : size: 3 :{YDR306C,YDR328C,YOR080W}
130 : size: 3 :{YOL111C,YOL016C,YOR007C}
131 : size: 3 :{YFR054C,YNL281W,YBR109C}
132 : size: 3 :{YOR018W,YER125W,YGR068C}
133 : size: 3 :{YLL050C,YMR092C,YPL263C}
134 : size: 3 :{YNL138W,YOR122C,YHR070W}
135 : size: 3 :{YFL039C,YCL027W,YIL138C}
136 : size: 3 :{YGR163W,YBR077C,YKR007W}
137 : size: 3 :{YGL058W,YKL210W,YER100W}
138 : size: 3 :{YFR049W,YIL125W,YDR148C}
139 : size: 3 :{YGL181W,YHR177W,YCR072C}
140 : size: 3 :{YDL240W,YPR165W,YFR044C}
141 : size: 3 :{YLR433C,YNL027W,YKL190W}
142 : size: 3 :{YKL213C,YHL002W,YNR006W}
143 : size: 3 :{YNL020C,YDR129C,YCR088W}
144 : size: 3 :{YOR181W,YPR159W,YPL246C}
145 : size: 3 :{YJL151C,YJL201W,YBL007C}
146 : size: 3 :{YDL056W,YHR206W,YLR182W}
147 : size: 3 :{YER144C,YIL095W,YBR059C}
148 : size: 3 :{YGL094C,YDL161W,YIR006C}
149 : size: 3 :{YCR009C,YJR115W,YMR232W}
150 : size: 3 :{YDR388W,YLR144C,YPR088C}
151 : size: 3 :{YDR422C,YMR291W,YGL115W}
152 : size: 3 :{YHR154W,YJL047C,YLR320W}
153 : size: 3 :{YDR043C,YBR112C,YGL162W}
154 : size: 3 :{YNL007C,YBR270C,YIL046W}
155 : size: 3 :{YJL025W,YBL014C,YMR270C}
156 : size: 3 :{YBL025W,YIL141W,YJR087W}
157 : size: 3 :{YGR047C,YGR246C,YNL039W}
158 : size: 3 :{YJL157C,YPL256C,YJR090C}
